title,rating,director,genres
Contatos Imediatos do Terceiro Grau,7.354,Steven Spielberg,"Ficção científica, Drama"
O Poderoso Chefão: Parte II,8.575,Francis Ford Coppola,"Drama, Crime"
No Caminho da Cura,6.481,Robert Greene,Documentário
Il mio viaggio in Italia,7.603,Martin Scorsese,Documentário
Domingo Sangrento,7.261,Paul Greengrass,"Drama, História"
Azul É A Cor Mais Quente,7.09,Abdellatif Kechiche,"Romance, Drama"
Trama Fantasma,7.317,Paul Thomas Anderson,"Drama, Romance"
Anti-Herói Americano,7.179,Shari Springer Berman,"Comédia, Drama"
Assassinato em Gosford Park,6.855,Robert Altman,"Drama, Mistério, Thriller"
Wojnarowicz: Fuck You Faggot Fucker,7.2,Chris McKim,Documentário
My Perestroika,6.429,Robin Hessman,"Documentário, História"
གངས་རིན་པོ་ཆེ,6.7,Zhang Yang,"Drama, Documentário"
O Souvenir: Parte II,6.426,Joanna Hogg,Drama
This is Not a Film,5.0,Michael A. Nickles,"Comédia, Romance"
Procurando Nemo,7.82,Andrew Stanton,"Animação, Família"
Topsy-Turvy,6.6,Mike Leigh,"Comédia, Drama, Música, História"
Quero Ser John Malkovich,7.412,Spike Jonze,"Comédia, Drama, Fantasia"
Os Incríveis,7.709,Brad Bird,"Ação, Aventura, Animação, Família"
Zona de Exclusão,7.5,Agnieszka Holland,Drama
O Peso de uma Premonição,6.5,Robin Hays,Drama
Quase Famosos,7.508,Cameron Crowe,"Drama, Música"
Oppenheimer,8.091,Christopher Nolan,"Drama, História"
Cold War,6.275,Jack Kinney,Animação
O Show de Truman: O Show da Vida,8.143,Peter Weir,"Comédia, Drama"
Apenas Uma Vez,7.4,John Carney,"Drama, Música, Romance"
Big Men,7.3,Rachel Boynton,Documentário
Hannah e Suas Irmãs,7.5,Woody Allen,"Comédia, Drama"
O Conto,7.097,Jennifer Fox,"Drama, Mistério"
Paterson,7.1,Jim Jarmusch,"Drama, Comédia, Romance"
The Fits,6.383,Anna Rose Holmer,Drama
Touro Indomável,7.933,Martin Scorsese,Drama
Voo United 93,7.119,Paul Greengrass,"Drama, História, Crime, Thriller, Ação"
Na Captura dos Friedmans,7.182,Andrew Jarecki,"Documentário, Crime"
Trapaça,6.855,David O. Russell,"Drama, Crime"
Guerra nas Estrelas,8.203,George Lucas,"Aventura, Ação, Ficção científica"
Persépolis,7.899,Vincent Paronnaud,"Animação, Drama"
A Época da Inocência,6.986,Martin Scorsese,"Drama, Romance"
O Franco Atirador,8.0,Nikki Cimino,"Drama, Guerra"
Brilho Eterno de uma Mente sem Lembranças,8.102,Michel Gondry,"Ficção científica, Drama, Romance"
O Melhor da Juventude,8.072,Marco Tullio Giordana,"Drama, História, Romance"
The Overnighters,7.076,Jesse Moss,"Drama, Documentário"
Cidade das Ilusões,7.056,John Huston,Drama
A Vida dos Outros,8.032,Florian Henckel von Donnersmarck,"Drama, Thriller"
Corrida sem Fim,6.9,Monte Hellman,Drama
O Clã das Adagas Voadoras,7.279,Yimou Zhang,"Aventura, Drama, Ação"
63 Up,7.167,Michael Apted,Documentário
Minding the Gap,7.723,Bing Liu,Documentário
Lances Inocentes,7.1,Steven Zaillian,Drama
Anora,0.0,Sean Baker,"Comédia, Drama, Romance"
Whiplash: Em Busca da Perfeição,8.381,Damien Chazelle,"Drama, Música"
"Dois Dias, Uma Noite",6.892,Jean-Pierre Dardenne,Drama
Assassinos da Lua das Flores,7.452,Martin Scorsese,"Crime, História, Drama"
National Gallery,7.3,Frederick Wiseman,Documentário
Assalto à 13ª DP,6.166,Jean-François Richet,"Thriller, Ação, Aventura, Crime, Drama"
Assalto à 13ª DP,6.166,Jean-François Richet,"Thriller, Ação, Aventura, Crime, Drama"
Assalto à 13ª DP,6.166,Jean-François Richet,"Thriller, Ação, Aventura, Crime, Drama"
Assalto à 13ª DP,6.166,Jean-François Richet,"Thriller, Ação, Aventura, Crime, Drama"
O Equilibrista,7.367,James Marsh,Documentário
E Sua Mãe Também,7.418,Alfonso Cuarón,"Drama, Romance"
Para Sama,8.248,Waad al-Kateab,"Documentário, Guerra"
Elle,6.7,Paul Verhoeven,"Drama, Thriller"
Andando,7.735,Hirokazu Koreeda,"Drama, Família"
Gangues de Wasseypur - Parte 1,7.1,Anurag Kashyap,"Ação, Thriller, Crime"
Depois de Horas,7.478,Martin Scorsese,"Comédia, Thriller, Drama"
Borat - O Segundo Melhor Repórter do Glorioso País Cazaquistão Viaja à América,6.78,Larry Charles,Comédia
Minari: Em Busca da Felicidade,7.3,Lee Isaac Chung,Drama
Barry Lyndon,8.008,Stanley Kubrick,"Drama, Romance, Guerra, História"
A Despedida,7.4,Lulu Wang,"Comédia, Drama"
O Conto da Princesa Kaguya,8.1,高畑勲,"Animação, Drama, Fantasia"
Uncertain,6.3,Ewan McNicol,Documentário
Great Freedom,7.2,Sebastian Meise,"Drama, Romance, Crime"
Sem Fim à Vista,7.7,Charles Ferguson,Documentário
As Loucuras do Rei George,6.7,Nicholas Hytner,"Comédia, Drama, História"
Fênix,6.855,Christian Petzold,Drama
Adeus,6.9,Ramin Bahrani,Drama
Gunda,7.0,Viktor Kossakovsky,Documentário
Western,6.639,Valeska Grisebach,Drama
Western,6.639,Valeska Grisebach,Drama
Western,6.639,Valeska Grisebach,Drama
Western,6.639,Valeska Grisebach,Drama
Western,6.639,Valeska Grisebach,Drama
Western,6.639,Valeska Grisebach,Drama
Western,6.639,Valeska Grisebach,Drama
Western,6.639,Valeska Grisebach,Drama
Western,6.639,Valeska Grisebach,Drama
Ataque dos Cães,6.781,Jane Campion,"Drama, Faroeste"
Herr Bachmann und seine Klasse,7.9,Maria Speth,Documentário
Deep Red,4.4,Craig R. Baxley,"Thriller, Ficção científica, Cinema TV"
Alien: O Oitavo Passageiro,8.156,Ridley Scott,"Terror, Ficção científica"
Columbus,7.106,Kogonada,Drama
O Artista,7.5,Michel Hazanavicius,"Drama, Comédia, Romance"
Zama,6.736,Lucrecia Martel,"Drama, História"
O Piano,7.383,Jane Campion,"Drama, Romance"
Dead Souls,4.705,Colin Theys,Terror
Cameraperson,6.8,Kirsten Johnson,Documentário
A Mãe e a Puta,7.434,Jean Eustache,"Drama, Romance, Comédia"
As Mortes de Dick Johnson,7.2,Kirsten Johnson,Documentário
A Menina Silenciosa,7.5,Colm Bairéad,Drama
Cartas de Iwo Jima,7.472,Clint Eastwood,"Ação, Drama, Guerra"
Uma Mulher Sob Influência,7.766,John Cassavetes,Drama
Anomalisa,7.1,Charlie Kaufman,"Animação, Drama, Romance, Comédia"
"I'm Not Going to Die, I'm going Home Like a Shooting Star",0.0,Jada-Amina,
A Conversação,7.527,Francis Ford Coppola,"Crime, Drama, Mistério"
The Arbor,7.269,Clio Barnard,Drama
Longa Jornada Noite Adentro,6.921,Sidney Lumet,Drama
Three Minutes: A Lengthening,7.167,Bianca Stigter,"Documentário, História"
Democrats,6.833,Camilla Nielsson,Documentário
O Rei Leão,8.257,Roger Allers,"Família, Animação, Drama"
O Rei Leão,8.257,Roger Allers,"Família, Animação, Drama"
O Rei Leão,8.257,Roger Allers,"Família, Animação, Drama"
O Rei Leão,8.257,Roger Allers,"Família, Animação, Drama"
Quatro Meninas: Uma História Real,7.308,Spike Lee,Documentário
ear for eye,6.5,debbie tucker green,Drama
Azor,6.45,Andreas Fontana,"Drama, Thriller"
As Aventuras de Paddington 2,7.459,Paul King,"Aventura, Comédia, Família"
A Pequena Sereia,6.359,Rob Marshall,"Aventura, Família, Fantasia, Romance"
A Pequena Sereia,6.359,Rob Marshall,"Aventura, Família, Fantasia, Romance"
A Pequena Sereia,6.359,Rob Marshall,"Aventura, Família, Fantasia, Romance"
A Pequena Sereia,6.359,Rob Marshall,"Aventura, Família, Fantasia, Romance"
City Hall: Conspiração no Alto Escalão,5.9,Harold Becker,"Drama, Thriller"
City Hall: Conspiração no Alto Escalão,5.9,Harold Becker,"Drama, Thriller"
City Hall: Conspiração no Alto Escalão,5.9,Harold Becker,"Drama, Thriller"
City Hall: Conspiração no Alto Escalão,5.9,Harold Becker,"Drama, Thriller"
Um Homem Sério,6.728,Ethan Coen,"Comédia, Drama"
Capote,6.993,Bennett Miller,"Crime, Drama"
A Morte de Stalin,7.01,Armando Iannucci,"Comédia, Drama, História"
Ervas Secas,7.672,Nuri Bilge Ceylan,Drama
Tulpan,6.3,Sergei Dvortsevoy,"Drama, Romance, Comédia"
Manuscritos não Queimam,6.6,Mohammad Rasoulof,"Crime, Drama"
In Transit,7.3,Juliet Joslin,"Documentário, Música"
Três Anúncios Para Um Crime,8.071,Martin McDonagh,"Crime, Drama"
"Adeus, Meninos",7.513,Louis Malle,"Drama, Guerra"
שתיקת הארכיון,6.4,Yael Hersonski,"História, Documentário"
Daqui a Cem Anos,6.4,William Cameron Menzies,"Drama, Ficção científica"
O Grande Hotel Budapeste,8.051,Wes Anderson,"Comédia, Drama"
Sono de Inverno,7.6,Nuri Bilge Ceylan,Drama
Nasce uma Estrela,7.501,Bradley Cooper,"Música, Drama, Romance"
Nasce uma Estrela,7.501,Bradley Cooper,"Música, Drama, Romance"
Nasce uma Estrela,7.501,Bradley Cooper,"Música, Drama, Romance"
Nasce uma Estrela,7.501,Bradley Cooper,"Música, Drama, Romance"
Cidadãoquatro,7.751,Laura Poitras,Documentário
Time Out,0.0,Jadrien Morales,"Ficção científica, Mistério"
Longe Dela,7.0,Sarah Polley,"Drama, Romance"
Hamilton,8.194,Thomas Kail,"História, Drama"
Meu Pai,8.122,Florian Zeller,Drama
Foxtrot,4.7,Arturo Ripstein,Drama
Retorno a Howard's End,7.045,James Ivory,"Drama, Romance"
Trabalho Interno,7.695,Charles Ferguson,"Documentário, Crime"
Doce País,6.7,Warwick Thornton,"Faroeste, Crime, Thriller, Drama"
Sem Rastros,6.8,Debra Granik,Drama
A Fuga das Galinhas,6.817,Peter Lord,"Animação, Comédia, Família"
O Discurso do Rei,7.742,Tom Hooper,"Drama, História"
Fargo: Uma Comédia de Erros,7.861,Joel Coen,"Crime, Drama, Thriller"
Mães Paralelas,6.83,Pedro Almodóvar,Drama
A Qualquer Custo,7.296,David Mackenzie,"Faroeste, Crime, Drama"
Up: Altas Aventuras,7.958,Pete Docter,"Animação, Comédia, Família, Aventura"
Shirkers: O Filme Roubado,7.308,Sandi Tan,Documentário
Pobres Criaturas,7.8,Yorgos Lanthimos,"Ficção científica, Romance, Comédia"
45365,6.3,Turner Ross,Documentário
Tootsie,7.216,Sydney Pollack,"Comédia, Romance"
جێھێڵراو لە عێراق,6.9,Bahman Ghobadi,"Drama, Guerra"
Retratos Fantasmas,7.951,Kleber Mendonça Filho,Documentário
Aquarius,7.481,Kleber Mendonça Filho,Drama
Toy Story 2,7.597,John Lasseter,"Animação, Comédia, Família"
Pantera Negra,7.384,Ryan Coogler,"Ação, Aventura, Ficção científica"
Cemitério do Esplendor,5.8,Apichatpong Weerasethakul,"Drama, Fantasia"
A Voz Humana,6.826,Pedro Almodóvar,Drama
Brooklin: Um Amor Sem Fronteiras,7.3,John Crowley,"Romance, Drama, História"
Nobody knows,0.0,Whap Abdalrazaq,Drama
A Vida é Doce,6.958,Mike Leigh,"Comédia, Drama"
Apollo 11,7.837,Todd Douglas Miller,"Documentário, História, Drama"
O Senhor dos Anéis: As Duas Torres,8.398,Peter Jackson,"Aventura, Fantasia, Ação"
O Rapto do Menino Dourado,5.906,Michael Ritchie,"Ação, Aventura, Comédia"
Jane Fonda em Cinco Atos,7.529,Susan Lacy,"Documentário, Cinema TV"
