titulo,nota,tipo de nota,diretor,generos
Maze Runner: Correr ou Morrer,7.187,0 a 10,Wes Ball,"Ação, Mistério, Ficção científica, Thriller"
Todos Menos Você,6.979,0 a 10,Will Gluck,"Romance, Comédia"
Miraculous: As Aventuras de Ladybug - O Filme,7.656,0 a 10,Jeremy Zag,"Animação, Fantasia, Ação, Romance, Família"
과외의 목적,5.5,0 a 10,Han Dong-yeon,"Romance, Drama"
Barbie,7.024,0 a 10,Greta Gerwig,"Comédia, Aventura"
Guardiões da Galáxia: Vol. 3,7.969,0 a 10,James Gunn,"Ficção científica, Aventura, Ação"
Cuckoo,5.5,0 a 10,Tilman Singer,"Terror, Mistério, Ficção científica"
Três Homens em Conflito,8.461,0 a 10,Sergio Leone,Faroeste
O Estranho Mundo de Jack,7.834,0 a 10,Henry Selick,"Fantasia, Animação, Família"
Invocação do Mal,7.543,0 a 10,James Wan,"Terror, Thriller"
Jurassic World: Domínio,6.7,0 a 10,Colin Trevorrow,"Aventura, Ação, Ficção científica"
Star Wars: Episódio IX - A Ascensão Skywalker,6.32,0 a 10,J.J. Abrams,"Aventura, Ação, Ficção científica"
TOGEFILM - Mei Mei,10.0,0 a 10,Diretor não encontrado,"Drama, Romance"
Shrek,7.744,0 a 10,Andrew Adamson,"Animação, Comédia, Fantasia, Aventura, Família"
Guardiões da Galáxia: Vol. 3,7.969,0 a 10,James Gunn,"Ficção científica, Aventura, Ação"
Malditas,6.2,0 a 10,Carlos Marbán,"Terror, Ação, Drama"
Titanic,7.906,0 a 10,James Cameron,"Drama, Romance"
"As Crônicas de Nárnia: O Leão, a Feiticeira e o Guarda-Roupa",7.137,0 a 10,Andrew Adamson,"Aventura, Família, Fantasia"
Piratas do Caribe: A Maldição do Pérola Negra,7.804,0 a 10,Gore Verbinski,"Aventura, Fantasia, Ação"
Cinquenta Tons de Liberdade,6.707,0 a 10,James Foley,"Drama, Romance"
Wish: O Poder dos Desejos,6.4,0 a 10,Fawn Veerasunthorn,"Animação, Família, Fantasia, Aventura"
Minions 2: A Origem de Gru,7.326,0 a 10,Kyle Balda,"Animação, Comédia, Família, Aventura"
A Bela e a Fera,7.735,0 a 10,Gary Trousdale,"Romance, Família, Animação, Fantasia"
과외의 목적,5.5,0 a 10,Han Dong-yeon,"Romance, Drama"
Duna,7.785,0 a 10,Denis Villeneuve,"Ficção científica, Aventura"
O Estranho Mundo de Jack,7.834,0 a 10,Henry Selick,"Fantasia, Animação, Família"
Até que as Cores Acabem,8.567,0 a 10,Takahiro Miki,"Romance, Drama"
Os Novatos,6.122,0 a 10,Dave Chernin,Comédia
Harry Potter e o Cálice de Fogo,7.814,0 a 10,Mike Newell,"Aventura, Fantasia"
O Lobo de Wall Street,8.036,0 a 10,Martin Scorsese,"Crime, Drama, Comédia"
O Lobo de Wall Street,8.036,0 a 10,Martin Scorsese,"Crime, Drama, Comédia"
Pandemonium,5.241,0 a 10,Quarxx,"Terror, Drama"
Piratas do Caribe: Navegando em Águas Misteriosas,6.554,0 a 10,Rob Marshall,"Aventura, Ação, Fantasia"
Kung Fu Games,6.5,0 a 10,Ryan C. Jaeger,Ação
O Salário do Medo,6.223,0 a 10,Julien Leclercq,Ação
Deadpool 2,7.491,0 a 10,David Leitch,"Ação, Comédia, Aventura"
Como Vender a Lua,6.955,0 a 10,Greg Berlanti,"Romance, Comédia"
"Momonsters, La Película",0.0,0 a 10,Christian Garnez,Animação
Plano em Família,7.278,0 a 10,Simon Cellan Jones,"Ação, Comédia"
Homem de Ferro 2,6.843,0 a 10,Jon Favreau,"Aventura, Ação, Ficção científica"
30 Dias de Noite,6.421,0 a 10,David Slade,"Terror, Thriller"
Tipos de Gentileza,6.643,0 a 10,Yorgos Lanthimos,"Drama, Comédia"
Megamente Vs. O Sindicato da Perdição,4.8,0 a 10,Eric Fogel,"Animação, Comédia, Ficção científica"
성판17: 남자들의 17가지 성적 판타지,6.2,0 a 10,Song Eun-joo,"Comédia, Drama, Romance"
Star Wars: Episódio VIII - Os Últimos Jedi,6.796,0 a 10,Rian Johnson,"Aventura, Ação, Ficção científica"
O Rei Leão,8.257,0 a 10,Roger Allers,"Família, Animação, Drama"
Harry Potter e a Ordem da Fênix,7.681,0 a 10,David Yates,"Aventura, Fantasia"
Bandida - A Número Um,6.333,0 a 10,João Wainer,"Ação, Crime, Drama"
Vingadores: Era de Ultron,7.274,0 a 10,Joss Whedon,"Ação, Aventura, Ficção científica"
Sete Dias Sem Fim,6.59,0 a 10,Shawn Levy,"Drama, Comédia"
Aliens: O Resgate,7.945,0 a 10,James Cameron,"Ação, Thriller, Ficção científica"
Kingsman: O Círculo Dourado,6.967,0 a 10,Matthew Vaughn,"Ação, Aventura, Comédia"
Piratas do Caribe: O Baú da Morte,7.363,0 a 10,Gore Verbinski,"Aventura, Fantasia, Ação"
Jurassic World: Reino Ameaçado,6.545,0 a 10,J. A. Bayona,"Ação, Aventura, Ficção científica, Thriller"
Breathe,5.2,0 a 10,Stefon Bristol,"Ação, Ficção científica, Mistério, Thriller"
Imaculada,6.308,0 a 10,Michael Mohan,"Terror, Mistério, Thriller"
Mad Max: Estrada da Fúria,7.613,0 a 10,George Miller,"Ação, Aventura, Ficção científica"
Encanto,7.601,0 a 10,Byron Howard,"Animação, Comédia, Família, Fantasia"
Abigail,6.8,0 a 10,Matt Bettinelli-Olpin,"Terror, Thriller"
Que a Força Materna Esteja com Você,5.548,0 a 10,David Silverman,"Animação, Comédia"
Pânico na Floresta 2,6.099,0 a 10,Joe Lynch,"Terror, Thriller"
Alien: Covenant,6.138,0 a 10,Ridley Scott,"Ficção científica, Terror, Thriller"
The Flash,6.705,0 a 10,Andy Muschietti,"Ação, Aventura, Ficção científica"
Homem-Aranha 3,6.43,0 a 10,Sam Raimi,"Ação, Aventura, Ficção científica"
Percy Jackson e o Ladrão de Raios,6.214,0 a 10,Chris Columbus,"Aventura, Fantasia, Família"
Transformers: A Era da Extinção,5.939,0 a 10,Michael Bay,"Ficção científica, Ação, Aventura"
Invocação do Mal,7.543,0 a 10,James Wan,"Terror, Thriller"
Beekeeper: Rede de Vingança,7.355,0 a 10,David Ayer,"Crime, Ação, Aventura, Thriller"
A Queda,7.194,0 a 10,Scott Mann,"Thriller, Ação"
Avatar,7.582,0 a 10,James Cameron,"Ação, Aventura, Fantasia, Ficção científica"
Uma Ideia de Você,7.409,0 a 10,Michael Showalter,"Romance, Drama, Comédia"
Shang-Chi e a Lenda dos Dez Anéis,7.549,0 a 10,Destin Daniel Cretton,"Ação, Aventura, Fantasia"
Madame Teia,5.497,0 a 10,S.J. Clarkson,"Ação, Fantasia"
Uma Natureza Violenta,5.7,0 a 10,Chris Nash,"Terror, Thriller"
Rebel Moon - Parte 2: A Marcadora de Cicatrizes,6.128,0 a 10,Zack Snyder,"Ficção científica, Ação"
엄마친구,6.308,0 a 10,Myeong Seok Hwan,"Drama, Romance"
Ruby Marinho - Monstro Adolescente,7.28,0 a 10,Kirk DeMicco,"Animação, Família, Fantasia, Comédia"
A Forja - O Poder da Transformação,6.3,0 a 10,Alex Kendrick,Drama
O Poderoso Chefão: Parte II,8.575,0 a 10,Francis Ford Coppola,"Drama, Crime"
Fúria Primitiva,6.988,0 a 10,Dev Patel,"Ação, Thriller"
A Viagem de Chihiro,8.537,0 a 10,Hayao Miyazaki,"Animação, Família, Fantasia"
Johnny & Clyde - Parceiros no Crime,4.792,0 a 10,Tom DeNucci,"Ação, Thriller, Crime"
Os Mercenários 4,6.204,0 a 10,Scott Waugh,"Ação, Aventura, Thriller"
Toy Story 2,7.597,0 a 10,John Lasseter,"Animação, Comédia, Família"
Lembayung,0.0,0 a 10,Baim Wong,"Terror, Thriller"
O Espetacular Homem-Aranha 2: A Ameaça de Electro,6.511,0 a 10,Marc Webb,"Ação, Aventura, Ficção científica"
超级英雄美猴王：齐天儿,5.354,0 a 10,Ralph Zondag,"Ação, Aventura, Animação, Comédia, Fantasia"
"Tiras, Só Que Não",6.465,0 a 10,Luke Greenfield,Comédia
Aves de Rapina: Arlequina e sua Emancipação Fantabulosa,6.925,0 a 10,Cathy Yan,"Ação, Crime"
O Rei Leão,7.113,0 a 10,Jon Favreau,"Animação, Aventura, Drama, Família"
Hell Hole,5.405,0 a 10,John Adams,"Terror, Ficção científica"
Aquaman 2: O Reino Perdido,6.688,0 a 10,James Wan,"Ação, Aventura, Fantasia"
Matrix Resurrections,6.411,0 a 10,Lana Wachowski,"Ficção científica, Ação, Aventura"
Miraculous World : London,0.0,0 a 10,Thomas Astruc,"Animação, Aventura, Ação"
Lahn Mah,7.838,0 a 10,Pat Boonnitipat,Drama
De Olhos Bem Fechados,7.484,0 a 10,Stanley Kubrick,"Drama, Thriller, Mistério"
A Noite dos Mortos-Vivos,7.613,0 a 10,George A. Romero,"Terror, Thriller"
Invocação do Mal 3: A Ordem do Demônio,7.44,0 a 10,Michael Chaves,"Terror, Mistério, Thriller"
名探偵コナン 黒鉄の魚影（サブマリン）,6.8,0 a 10,Yuzuru Tachikawa,"Animação, Ação, Crime, Mistério"
Até o Último Homem,8.199,0 a 10,Mel Gibson,"Drama, História, Guerra"
Init,5.0,0 a 10,Paul Michael Acero,Drama
A Freira 2,6.775,0 a 10,Michael Chaves,Terror
Toy Story: Um Mundo de Aventuras,7.971,0 a 10,John Lasseter,"Animação, Aventura, Família, Comédia"
Thor: Amor e Trovão,6.447,0 a 10,Taika Waititi,"Fantasia, Ação, Comédia"
Assassino por Acaso,6.931,0 a 10,Richard Linklater,"Crime, Comédia, Romance"
A Menina do Mar,7.067,0 a 10,Christian Sparkes,"Thriller, Mistério, Fantasia"
Baki Hanma x Kengan Ashura,7.851,0 a 10,Toshiki Hirano,"Animação, Ação"
