id,titulo,nota,tipo de nota,diretor
7861,Shark Attack 3: Megalodon,4.67,0 a 10,David Worth
7862,Shark Side of the Moon,5.154,0 a 10,Glenn Campbell
7863,Sharper - Uma Vida de Trapaças,6.969,0 a 10,Benjamin Caron
7864,"Shaun, o Carneiro - O Filme: A Fazenda Contra-Ataca",6.936,0 a 10,Will Becher
7865,"Shaun, o Carneiro: Aventura de Natal",6.9,0 a 10,Steve Cox
7866,"Shaun, o Carneiro: O Filme",6.974,0 a 10,Mark Burton
7867,Shazam!,7.012,0 a 10,David F. Sandberg
7868,Shazam! Fúria dos Deuses,6.534,0 a 10,David F. Sandberg
7869,"Sheena, a Rainha das Selvas",5.7,0 a 10,John Guillermin
7870,Sherazade,5.136,0 a 10,Philippe de Broca
7871,Sheriff: Narko Integriti,8.0,0 a 10,Syafiq Yusof
7872,Sherlock Holmes,7.214,0 a 10,Guy Ritchie
7873,Sherlock Holmes: O Jogo de Sombras,7.14,0 a 10,Guy Ritchie
7874,Sherlock: A Abominável Noiva,7.846,0 a 10,Douglas Mackinnon
7875,Shiki Oriori - O Sabor da Juventude,6.895,0 a 10,Xiaoxing Yi
7876,Shin Gojira,7.2,0 a 10,Shinji Higuchi
7877,Shin Kamen Rider,6.9,0 a 10,Hideaki Anno
7878,Shin Ultraman,7.2,0 a 10,Shinji Higuchi
7879,Shinobi - A Batalha,6.569,0 a 10,Ten Shimoyama
7880,Shiri: Missão Terrorista,6.424,0 a 10,Kang Je-kyu
7881,Shirley para Presidente,6.907,0 a 10,John Ridley
7882,Shockwave: Countdown to Disaster,5.554,0 a 10,Nick Lyon
7883,Shogun Assassin,6.9,0 a 10,Robert Houston
7884,Shooting Stars: A Vida de Lebron James,7.929,0 a 10,Chris Robinson
7885,Shortbus,6.3,0 a 10,John Cameron Mitchell
7886,Show Bar,6.258,0 a 10,David McNally
7887,Show de Vizinha,6.718,0 a 10,Luke Greenfield
7888,Showgirls,5.552,0 a 10,Paul Verhoeven
7889,Showroom,4.5,0 a 10,Carlo Obispo
7890,Shrek,7.744,0 a 10,Andrew Adamson
7891,Shrek 2,7.278,0 a 10,Andrew Adamson
7892,Shrek 5,0.0,0 a 10,Walt Dohrn
7893,Shrek Bate o Sino,6.357,0 a 10,Gary Trousdale
7894,Shrek Para Sempre: O Capítulo Final,6.379,0 a 10,Mike Mitchell
7895,Shrek Terceiro,6.298,0 a 10,Chris Miller
7896,Shrek no Baile de Karaokê do Pântano,6.437,0 a 10,Andrew Adamson
7897,"Shrek, o Musical",7.188,0 a 10,Michael John Warren
7898,Si on a la nuit,0.0,0 a 10,Pierre Bermond
7899,Siapa Buka Lampu,0.0,0 a 10,Reka Wijaya
7900,Sicario: Terra de Ninguém,4.2,0 a 10, Denis Villeneuve
7901,Sicário: Dia do Soldado,6.92,0 a 10,Stefano Sollima
7902,Sideways,4.5,0 a 10,Alexander Payne
7903,Sight,6.333,0 a 10,Andrew Hyatt
7904,Siklo,5.375,0 a 10,Roman Perez Jr.
7905,Siksa Neraka,5.962,0 a 10,Anggy Umbara
7906,Silence of the Prey,5.6,0 a 10,Michael Vaynberg
7907,Silent Hill: Revelação,5.52,0 a 10,M.J. Bassett
7908,Silent Tongue,4.8,0 a 10,Sam Shepard
7909,Silip Sa Apoy,5.817,0 a 10,Mac Alejandre
7910,Silverado,6.957,0 a 10,Lawrence Kasdan
7911,Silverton: Cerco Fechado,6.346,0 a 10,"Mandlakayise Walter Dube, Jr."
7912,Silêncio,7.127,0 a 10,Martin Scorsese
7913,Silêncio nas Trevas,7.045,0 a 10,Robert Siodmak
7914,Sim Senhor,6.677,0 a 10,Peyton Reed
7915,Simbad e a Princesa,6.935,0 a 10,Nathan H. Juran
7916,Simbad e o Olho do Tigre,6.6,0 a 10,Sam Wanamaker
7917,Simplesmente Acontece,7.835,0 a 10,Christian Ditter
7918,Simplesmente Amor,7.117,0 a 10,Richard Curtis
7919,Simplesmente Irresistível,5.452,0 a 10,Mark Tarlov
7920,Sin City: A Cidade do Pecado,7.459,0 a 10,Robert Rodriguez
7921,Sin City: A Dama Fatal,6.382,0 a 10,Frank Miller
7922,Sinais,6.697,0 a 10,M. Night Shyamalan
7923,Sinbad - A Lenda dos Sete Mares,7.0,0 a 10,Tim Johnson
7924,Sindicato de Ladrões,7.9,0 a 10,Elia Kazan
7925,Sing - Quem Canta Seus Males Espanta,7.113,0 a 10,Garth Jennings
7926,Sing 2,7.867,0 a 10,Garth Jennings
7927,Sing Sing,7.3,0 a 10,Greg Kwedar
7928,Sinkhole,6.95,0 a 10,Kim Ji-hoon
7929,Sintonia de Amor,6.738,0 a 10,Nora Ephron
7930,Sintonizada em Você,7.8,0 a 10,Jung Ji-woo
7931,Sirocco et le Royaume des courants d’air,8.5,0 a 10,Benoît Chieux
7932,Sisid Marino,5.0,0 a 10,Joel Lamangan
7933,Sissi,7.4,0 a 10,Ernst Marischka
7934,Sissi e Seu Destino,7.18,0 a 10,Ernst Marischka
7935,Sisterhood of Secrets,0.0,0 a 10,Dylan Vox
7936,Sisu: Uma História de Determinação,7.457,0 a 10,Jalmari Helander
7937,Sitting Bull,4.955,0 a 10,Sidney Salkow
7938,Six Shooter,7.17,0 a 10,Martin McDonagh
7939,Sixteen,0.0,0 a 10,Rachel Flynn
7940,Skal: Fight for Survival,5.411,0 a 10,Benjamin Cappelletti
7941,Skin: À Flor da Pele,7.0,0 a 10,Guy Nattiv
7942,Skinamarink: Canção de Ninar,5.446,0 a 10,Kyle Edward Ball
7943,Skincare,5.711,0 a 10,Austin Peters
7944,Sky High: Super Escola de Heróis,6.239,0 a 10,Mike Mitchell
7945,Skydog,6.3,0 a 10,Tim Kaiser
7946,Skyline: A Invasão,5.01,0 a 10,Colin Strause
7947,Skywalkers: Uma História de Amor,7.0,0 a 10,Jeff Zimbalist
7948,Slash/Back,6.493,0 a 10,Nyla Innuksuk
7949,Slasher,6.5,0 a 10,Alberto Armas Díaz
7950,Slaughtered Vomit Dolls,4.21,0 a 10,Lucifer Valentine
7951,Sleep: O Mal Nunca Dorme,6.7,0 a 10,Jason Yu
7952,Sleepers: A Vingança Adormecida,7.6,0 a 10,Barry Levinson
7953,Sleeping Beauties,4.5,0 a 10,Dean McKendrick
7954,Slender Man: Pesadelo Sem Rosto,4.296,0 a 10,Sylvain White
7955,Slingshot,6.273,0 a 10,Mikael Håfström
7956,Slumber Party - O Massacre,5.563,0 a 10,Amy Holden Jones
7957,Slumber Party: O Massacre II,5.101,0 a 10,Deborah Brock
7958,Slumdog Millionaire,4.7,0 a 10,Danny Boyle
7959,Sly,7.255,0 a 10,Thom Zimny
7960,Small Things Like These,0.0,0 a 10,Tim Mielants
7961,Smoking Tigers,5.0,0 a 10,So Young Shelly Yo
7962,Snatch: Porcos e Diamantes,7.81,0 a 10,Guy Ritchie
7963,Sniper Americano,7.428,0 a 10,Clint Eastwood
7964,"Sniper, O Atirador",6.151,0 a 10,Luis Llosa
7965,Snoop Dogg's Hood of Horror,4.779,0 a 10,Stacy Title
7966,"Snoopy & Charlie Brown: Peanuts, o Filme",6.904,0 a 10,Steve Martino
7967,Snoopy Apresenta: A Escola da Lucy,7.375,0 a 10,Raymond S. Persi
7968,Snoopy Apresenta: A Inigualável Marcie,7.865,0 a 10,Raymond S. Persi
7969,"Snoopy Apresenta: Seja Bem-vindo, Franklin!",7.654,0 a 10,Raymond S. Persi
7970,Snoopy apresenta: para mamãe (e papai) com amor,7.0,0 a 10,Clay Kaytis
7971,"Snoopy apresenta: são as pequenas coisas, Charlie Brown",7.3,0 a 10,Raymond S. Persi
7972,Snow Buddies: Uma Aventura no Gelo,6.103,0 a 10,Robert Vince
7973,Snowden: Herói ou Traidor,7.1,0 a 10,Oliver Stone
7974,Sob Suspeita,6.085,0 a 10,Stephen Hopkins
7975,Sob a Mesma Lua,7.727,0 a 10,Patricia Riggen
7976,Sob a Névoa da Guerra,7.7,0 a 10,Errol Morris
7977,Sob a Pele,6.127,0 a 10,Jonathan Glazer
7978,Sob as Águas do Sena,6.023,0 a 10,Xavier Gens
7979,Sob o Domínio do Mal,6.5,0 a 10,Jonathan Demme
7980,Sob o Domínio dos Robôs,4.833,0 a 10,Jon Wright
7981,Sob o Mesmo Céu,5.498,0 a 10,Cameron Crowe
7982,Sob o Sol da África,7.28,0 a 10,J. Lee Thompson
7983,Sob o Sol de Satã,6.0,0 a 10,Maurice Pialat
7984,Sobre Meninos e Lobos,7.74,0 a 10,Clint Eastwood
7985,Sobre Ontem a Noite,6.0,0 a 10,Edward Zwick
7986,Sobrenatural,6.945,0 a 10,James Wan
7987,Sobrenatural: A Origem,6.3,0 a 10,Leigh Whannell
7988,Sobrenatural: A Porta Vermelha,6.618,0 a 10,Patrick Wilson
7989,Sobrenatural: A Última Chave,6.261,0 a 10,Adam Robitel
7990,Sobrenatural: Capítulo 2,6.675,0 a 10,James Wan
7991,Sobreviva ou Morra Tentando,6.761,0 a 10,Kyle Rankin
7992,Sobreviventes - Depois do Terremoto,7.059,0 a 10,Um Tae-hwa
7993,Sobrou Pra Você,5.3,0 a 10,John Schlesinger
7994,Social Man,0.0,0 a 10,Ali Bin Matar
7995,Sociedade Secreta dos Segundos Filhos Reais,6.7,0 a 10,Anna Mastro
7996,Sociedade da Justiça: 2ª Guerra Mundial,7.435,0 a 10,Jeff Wamester
7997,Sociedade dos Poetas Mortos,8.312,0 a 10,Peter Weir
7998,Sofia Foi,0.0,0 a 10,Pedro Geraldo
7999,Soforem,0.0,0 a 10,Alejandro Fertero
8000,Sol Vermelho,6.946,0 a 10,Terence Young
8001,Sol da Meia-noite,7.798,0 a 10,Scott Speer
8002,Soldado Anônimo,6.664,0 a 10,Sam Mendes
8003,Soldado Anônimo 3: O Cerco,6.207,0 a 10,William Kaufman
8004,Soldado Anônimo: Lei do Retorno,6.534,0 a 10,Don Michael Paul
8005,Soldado Universal,6.296,0 a 10,Roland Emmerich
8006,Soldado Universal 4: Juízo Final,5.528,0 a 10,John Hyams
8007,Soldado Universal: O Retorno,5.929,0 a 10,Mic Rodgers
8008,Solos en la noche,0.0,0 a 10,Guillermo Rojas
8009,Som da Esperança: A História de Possum Trot,6.423,0 a 10,Joshua Weigel
8010,Som da Liberdade,8.008,0 a 10,Alejandro Monteverde
8011,Sombra Lunar,6.17,0 a 10,Jim Mickle
8012,Sombras da Noite,6.075,0 a 10,Tim Burton
8013,Sombras da Vida,7.104,0 a 10,David Lowery
8014,Somente Deus Por Testemunha,7.6,0 a 10,Roy Ward Baker
8015,Somersault,6.1,0 a 10,Cate Shortland
8016,Sommersby: O Retorno de um Estranho,6.322,0 a 10,Jon Amiel
8017,Somos o que Somos,5.744,0 a 10,Jim Mickle
8018,Sonhos Alucinantes,6.3,0 a 10,John D. Hancock
8019,Sonhos Rebeldes,5.975,0 a 10,Martha Coolidge
8020,Sonic 2: O Filme,7.5,0 a 10,Jeff Fowler
8021,Sonic 3: O Filme,0.0,0 a 10,Jeff Fowler
8022,Sonic: O Filme,7.3,0 a 10,Jeff Fowler
8023,Sonâmbulos,6.045,0 a 10,Mick Garris
8024,Sorria,4.1,0 a 10, Parker Finn
8025,Sorria 2,0.0,0 a 10,Parker Finn
8026,Sorte no Amor,6.142,0 a 10,Donald Petrie
8027,Sorte por Acaso,6.6,0 a 10,Zoya Akhtar
8028,Sou Espião,5.4,0 a 10,Betty Thomas
8029,Sou Louco Por Você,7.427,0 a 10,Fernando González Molina
8030,Soudain seuls,6.045,0 a 10,Thomas Bidegain
8031,Soul,4.5,0 a 10, Pete Docter e Kemp Powers
8032,Soul Surfer: Coragem de Viver,7.0,0 a 10,Sean McNamara
8033,Soulmate,7.766,0 a 10,Min Yong-keun
8034,South Park (Não Recomendado Para Menores),7.457,0 a 10,Trey Parker
8035,South Park: Entrando no Panderverso,7.776,0 a 10,Trey Parker
8036,"South Park: Maior, Melhor e Sem Cortes",7.267,0 a 10,Trey Parker
8037,South Park: O Fim da Obesidade,7.73,0 a 10,Trey Parker
8038,Southland Tales: O Fim do Mundo,5.16,0 a 10,Richard Kelly
8039,Sozinhos em Berlim,6.701,0 a 10,Vincent Perez
8040,Space Chimps - Micos no Espaço,4.852,0 a 10,Kirk DeMicco
8041,Space Jam: O Jogo do Século,6.826,0 a 10,Joe Pytka
8042,Space Jam: Um Novo Legado,6.736,0 a 10,Malcolm D. Lee
8043,Space Pups,7.731,0 a 10,Jason Murphy
8044,Spanking the Monkey,5.6,0 a 10,David O. Russell
8045,Sparkle: O Brilho de uma Estrela,6.3,0 a 10,Salim Akil
8046,Spartacus,7.551,0 a 10,Stanley Kubrick
8047,Spawn: O Soldado do Inferno,5.41,0 a 10,Mark A.Z. Dippé
8048,Special 26,7.258,0 a 10,Neeraj Pandey
8049,Spectral,6.461,0 a 10,Nic Mathieu
8050,Speed Racer,6.275,0 a 10,Lana Wachowski
8051,Spencer,6.823,0 a 10,Pablo Larraín
8052,Spenser Confidential 2,0.0,0 a 10,Peter Berg
8053,Spider-Man: Através do Aranhaverso,4.5,0 a 10, Joaquim Dos Santos & Kemp Powers & Justin K. Thompson
8054,Spider-Man: Através do Aranhaverso Parte Dois,4.5,0 a 10, Joaquim Dos Santos & Kemp Powers & Justin K. Thompson
8055,Spider-Man: No Aranhaverso,4.3,0 a 10, Bob Persichetti & Peter Ramsey & Rodney Rothman
8056,Spider-Man: Sem Volta Para Casa,4.2,0 a 10, Jon Watts
8057,Spiderhead,5.798,0 a 10,Joseph Kosinski
8058,Spirit: O Corcel Indomável,7.696,0 a 10,Kelly Asbury
8059,Spirit: O Indomável,7.275,0 a 10,Elaine Bogan
8060,Spirited: um conto natalino,6.977,0 a 10,Sean Anders
8061,Splice - A Nova Espécie,5.879,0 a 10,Vincenzo Natali
8062,Spotlight: Segredos Revelados,4.5,0 a 10, Tom McCarthy
8063,Spring Breakers: Garotas Perigosas,5.227,0 a 10,Harmony Korine
8064,Squealer,5.849,0 a 10,Andy Armstrong
8065,Sr. & Sra. Smith,6.688,0 a 10,Doug Liman
8066,Sr. Carrinho e os Cavaleiros Templários,5.858,0 a 10,Antoni Nykowski
8067,Sr. Ninguém,7.82,0 a 10,Jaco Van Dormael
8068,Sra. Harris Vai a Paris,7.304,0 a 10,Anthony Fabian
8069,Sri Asih,6.2,0 a 10,Upi Avianto
8070,Stalingrado - A Batalha Final,7.288,0 a 10,Joseph Vilsmaier
8071,Stalker,8.2,0 a 10,Andrei Tarkovsky
8072,Stallone: Cobra,6.102,0 a 10,George P. Cosmatos
8073,Stan & Ollie - O Gordo e o Magro,7.0,0 a 10,Jon S. Baird
8074,Stan Helsing,4.226,0 a 10,Bo Zenga
8075,Star Trek,4.5,0 a 10,J.J. Abrams
8076,Star Trek: First Contact,4.3,0 a 10, Jonathan Frakes
8077,Star Trek: Sem Fronteiras,6.784,0 a 10,Justin Lin
8078,Star Wars: A Guerra dos Clones,6.12,0 a 10,Dave Filoni
8079,Star Wars: Episódio I - A Ameaça Fantasma,6.554,0 a 10,George Lucas
8080,Star Wars: Episódio II - Ataque dos Clones,6.568,0 a 10,George Lucas
8081,Star Wars: Episódio III - A Vingança dos Sith,7.433,0 a 10,George Lucas
8082,Star Wars: Episódio IX - A Ascensão Skywalker,6.32,0 a 10,J.J. Abrams
8083,Star Wars: Episódio VIII - Os Últimos Jedi,6.796,0 a 10,Rian Johnson
8084,Star Wars: O Despertar da Força,7.275,0 a 10,J.J. Abrams
8085,Stardust: O Mistério da Estrela,7.274,0 a 10,Matthew Vaughn
8086,Stargate: A Arca da Verdade,7.119,0 a 10,Robert C. Cooper
8087,Stargate: A Chave para o Futuro da Humanidade,7.006,0 a 10,Roland Emmerich
8088,Stargate: Linha do Tempo,7.104,0 a 10,Martin Wood
8089,Starman: O Homem das Estrelas,6.91,0 a 10,John Carpenter
8090,Stars and the Moon,0.0,0 a 10,Yongkang Tang
8091,Status Update: Perfil dos Sonhos,7.345,0 a 10,Scott Speer
8092,Stay Alive: Jogo Mortal,5.803,0 a 10,William Brent Bell
8093,Stealing Lust,5.0,0 a 10,Hank Hoffman
8094,Stealth: Ameaça Invisível,5.426,0 a 10,Rob Cohen
8095,Stella. Ein Leben.,6.455,0 a 10,Kilian Riedhof
8096,Stellaluna,6.0,0 a 10,William R. Kowalchuk Jr.
8097,Stephane,6.906,0 a 10,Claude Chabrol
8098,Stephen Curry: Subestimado,7.7,0 a 10,Peter Nicks
8099,Steve Jobs,6.777,0 a 10,Danny Boyle
8100,Steven Universo: O Filme,8.2,0 a 10,Rebecca Sugar
8101,Stigmata,6.278,0 a 10,Rupert Wainwright
8102,Still Waiting...,4.7,0 a 10,Jeff Balis
8103,Stillwater: Em Busca da Verdade,6.638,0 a 10,Tom McCarthy
8104,Sting: Aranha Assassina,6.313,0 a 10,Kiah Roache-Turner
8105,Stitch! O Filme,6.451,0 a 10,Bobs Gannaway
8106,Stop Making Sense,8.318,0 a 10,Jonathan Demme
8107,Stopmotion,6.566,0 a 10,Robert Morgan
8108,Stopping the Steal,8.0,0 a 10,Dan Reed
8109,Storm Cell,5.802,0 a 10,Steven R. Monroe
8110,Straight Outta Compton: A História do N.W.A.,7.788,0 a 10,F. Gary Gray
8111,Strange Darling,7.8,0 a 10,JT Mollner
8112,Stranizza d'amuri,7.421,0 a 10,Giuseppe Fiorello
8113,Stree,6.913,0 a 10,Amar Kaushik
8114,Street Fighter II: O Filme,7.023,0 a 10,Gisaburō Sugii
8115,Street Fighter: A Lenda de Chun-Li,4.3,0 a 10,Andrzej Bartkowiak
8116,Street Fighter: A Última Batalha,4.576,0 a 10,Steven E. de Souza
8117,Stringimi forte i polsi,4.0,0 a 10,Walter Martyn Cabell
8118,Striptease,5.536,0 a 10,Andrew Bergman
8119,Stuart: A Life Backwards,7.414,0 a 10,David Attwood
8120,Su ve Ateş,7.927,0 a 10,Özcan Deniz
8121,Sua Culpa,0.0,0 a 10,Domingo González
8122,Sub Rosa,6.2,0 a 10,Krisstian de Lara
8123,Sube a mi nube,0.0,0 a 10,Sergio Barrio
8124,Sublime Obsessão,6.8,0 a 10,Douglas Sirk
8125,Submersos,6.03,0 a 10,David Twohy
8126,Submersão,5.486,0 a 10,Wim Wenders
8127,Subservience,6.042,0 a 10,SK Dale
8128,Substitutos,6.122,0 a 10,Jonathan Mostow
8129,Suburbicon: Bem-vindos ao Paraíso,5.877,0 a 10,George Clooney
8130,Succubus,0.0,0 a 10,R.J. Daniel Hanna
8131,Sucker Punch: Mundo Surreal,6.201,0 a 10,Zack Snyder
8132,Sugapa,5.5,0 a 10,Lawrence Fajardo
8133,Sugar Baby,4.0,0 a 10,Christian Paolo Lat
8134,Suitable Flesh,5.363,0 a 10,Joe Lynch
8135,Suki,3.3,0 a 10,Albert Langitan
8136,Sully: O Herói do Rio Hudson,4.2,0 a 10, Clint Eastwood
8137,Sultão,6.911,0 a 10,Ali Abbas Zafar
8138,Summer Ghost,7.3,0 a 10,loundraw
8139,Summer Villa,6.287,0 a 10,Pat Kiely
8140,Suncoast,6.8,0 a 10,Laura Chinn
8141,"Sunshine, O Despertar de um Século",6.5,0 a 10,István Szabó
8142,Sunshine: Alerta Solar,6.958,0 a 10,Danny Boyle
8143,Super 8,6.768,0 a 10,J.J. Abrams
8144,Super Mario Bros.,4.405,0 a 10,Rocky Morton
8145,Super Mario Bros. O Filme,7.655,0 a 10,Aaron Horvath
8146,Super Murali,7.1,0 a 10,Basil Joseph
8147,Super Nacho,6.474,0 a 10,Jared Hess
8148,Super Normal,5.7,0 a 10,Rasmus A. Sivertsen
8149,Super Size Me: A Dieta do Palhaço,6.766,0 a 10,Morgan Spurlock
8150,Super Snooper: Um Tira Genial,6.5,0 a 10,Sergio Corbucci
8151,Super Tiras 2,5.878,0 a 10,Jay Chandrasekhar
8152,"Super Velozes, Mega Furiosos",5.039,0 a 10,Jason Friedberg
8153,Super-Herói: O Filme,5.244,0 a 10,Craig Mazin
8154,Super-Heróis: A Liga da Injustiça,3.179,0 a 10,Jason Friedberg
8155,Super/Man: A História de Christopher Reeve,0.0,0 a 10,Ian Bonhôte
8156,Superação: O Milagre da Fé,7.6,0 a 10,Roxann Dawson
8157,Superbad: É Hoje,7.253,0 a 10,Greg Mottola
8158,Superfly: Crime e Poder,6.773,0 a 10,Director X.
8159,Supergirl,5.358,0 a 10,Jeannot Szwarc
8160,Superior Firepower: Making 'Aliens',7.5,0 a 10,Charles de Lauzirika
8161,Superman,4.7,0 a 10,B. Gupta
8162,Superman II: A Aventura Continua,6.732,0 a 10,Richard Lester
8163,Superman II: A Aventura Continua (Versão do Diretor),7.4,0 a 10,Richard Donner
8164,Superman III,5.501,0 a 10,Richard Lester
8165,Superman IV: Em Busca da Paz,4.564,0 a 10,Sidney J. Furie
8166,Superman: O Filme,7.137,0 a 10,Richard Donner
8167,Superman: O Retorno,5.769,0 a 10,Bryan Singer
8168,Superman: Sem Limites,6.578,0 a 10,James Tucker
8169,Supermarsu 2,6.265,0 a 10,Joona Tena
8170,Supernova,4.939,0 a 10,Walter Hill
8171,Supervixens,5.7,0 a 10,Russ Meyer
8172,Sur les chemins noirs,6.46,0 a 10,Denis Imbert
8173,Surpresa em Dobro,5.555,0 a 10,Walt Becker
8174,Survivre,3.8,0 a 10,Frédéric Jardin
8175,Suspeita,7.1,0 a 10,Alfred Hitchcock
8176,Suspeito X,7.03,0 a 10,Sujoy Ghosh
8177,Suspiria,7.5,0 a 10,Dario Argento
8178,Suspíria: A Dança do Medo,6.915,0 a 10,Luca Guadagnino
8179,Sussurros do Coração,7.945,0 a 10,Yoshifumi Kondo
8180,Suzume,7.955,0 a 10,Makoto Shinkai
8181,Suzumiya Haruhi no Shoushitsu,7.887,0 a 10,Yasuhiro Takemoto
8182,"Swades: We, the People",7.3,0 a 10,Ashutosh Gowariker
8183,Sweeney Todd: O Barbeiro Demoníaco da Rua Fleet,7.182,0 a 10,Tim Burton
8184,Sweet & Sour,7.772,0 a 10,Lee Kae-byeok
8185,Sweet Release,3.5,0 a 10,Pancho Maniquis
8186,Swimming Pool: À Beira da Piscina,6.502,0 a 10,François Ozon
8187,Swimming with Sharks,6.617,0 a 10,George Huang
8188,Swing: Em Busca do Prazer,5.5,0 a 10,Colin Kennedy
8189,Swingers,4.5,0 a 10,Tom Green
8190,Swingers - Curtindo a Noite,6.9,0 a 10,Doug Liman
8191,Switch: Trocaram Meu Sexo,5.9,0 a 10,Blake Edwards
8192,Sword Art Online Progressive: Scherzo do Crepúsculo Sombrio,7.718,0 a 10,Ayako Kono
8193,Sword Art Online Progressive: Ária de uma Noite Sem Estrelas,7.9,0 a 10,Ayako Kono
8194,Sword Art Online: Ordinal Scale,7.719,0 a 10,Tomohiko Ito
8195,Symphonie Fantastique,0.0,0 a 10,Duncan Analco
8196,System Change,0.0,0 a 10,Klaus Sparwasser
8197,Síndrome de Caim,6.062,0 a 10,Brian De Palma
8198,Síndrome de Ebola,6.415,0 a 10,Herman Yau
8199,T2: Trainspotting,6.948,0 a 10,Danny Boyle
8200,THE FIRST SLAM DUNK,7.824,0 a 10,Takehiko Inoue
8201,TL,0.0,0 a 10,Jordan Castillo
8202,TOC TOC TOC - Ecos do Além,6.518,0 a 10,Samuel Bodin
8203,TOGEFILM - Mei Mei,10.0,0 a 10,Diretor não encontrado
8204,Tabu,5.0,0 a 10,Vilgot Sjöman
8205,Tabú,6.1,0 a 10,Júlio Bressane
8206,Taciturno,0.0,0 a 10,Sebastián Castellanos Galindo
8207,Tag-init,4.2,0 a 10,Jose Javier Reyes
8208,Takas,7.0,0 a 10,Roman Perez Jr.
8209,Takluk: Lahad Datu,7.0,0 a 10,Zulkarnain Azhar
8210,Tammy: Fora de Controle,5.336,0 a 10,Ben Falcone
8211,Tampopo,7.8,0 a 10,Jūzō Itami
8212,Tango & Cash: Os Vingadores,6.454,0 a 10,Andrei Konchalovsky
8213,Taras Bulba,5.336,0 a 10,Vladimir Bortko
8214,Tarde Demais Para Voltar,5.8,0 a 10,Luke Sparke
8215,Tartarugas Até Lá Embaixo,7.679,0 a 10,Hannah Marks
8216,Tarzan,7.404,0 a 10,Chris Buck
8217,Tarzan 2: A Lenda Começa,6.058,0 a 10,Brian Smith
8218,Tarzan e Jane,5.971,0 a 10,Victor Cook
8219,"Tarzan, o Filho da Selva",4.053,0 a 10,John Derek
8220,Tatami,8.15,0 a 10,Guy Nattiv
8221,Taxi 3,5.736,0 a 10,Gérard Krawczyk
8222,Taxi Driver: Motorista de Táxi,8.144,0 a 10,Martin Scorsese
8223,Taxidermia,6.617,0 a 10,György Pálfi
8224,Taylor Swift - The Eras Tour,8.386,0 a 10,Sam Wrench
8225,Taylor Swift: Reputation Stadium Tour,8.351,0 a 10,Paul Dugdale
8226,Taylor Swift: The 1989 World Tour Live,8.418,0 a 10,Jonas Åkerlund
8227,Tayuan,5.9,0 a 10,Topel Lee
8228,Tazza 2 - Mãos de Deus,7.03,0 a 10,Kang Hyung-chul
8229,Te Amarei Para Sempre,6.923,0 a 10,Robert Schwentke
8230,Te Peguei!,6.706,0 a 10,Jeff Tomsic
8231,Team America - Detonando o Mundo,6.709,0 a 10,Trey Parker
8232,Technoboys,5.889,0 a 10,Gerardo Gatica
8233,Ted 2,6.306,0 a 10,Seth MacFarlane
8234,Ted Bundy,5.755,0 a 10,Matthew Bright
8235,Ted Bundy: A Irresistível Face do Mal,7.013,0 a 10,Joe Berlinger
8236,Teen Beach 2,6.8,0 a 10,Jeffrey Hornaday
8237,Teen Beach: O Filme,6.9,0 a 10,Jeffrey Hornaday
8238,Teen Wolf: O Filme,7.526,0 a 10,Russell Mulcahy
8239,Teia de Mentiras,6.332,0 a 10,Karen Moncrieff
8240,Tekken,5.391,0 a 10,Dwight H. Little
8241,Tekken 2: A Vingança de Kazuya,3.9,0 a 10,Wych Kaosayananda
8242,Tem Algo de Errado com as Crianças,5.753,0 a 10,Roxanne Benjamin
8243,Tem Alguém na Sua Casa,5.4,0 a 10,Patrick Brice
8244,Temos Vagas,6.253,0 a 10,Nimród Antal
8245,Temos Vagas 2: A Primeira Diária,5.3,0 a 10,Eric Bross
8246,Tempestade Infinita,5.744,0 a 10,Małgorzata Szumowska
8247,Tempestade de Gelo,6.859,0 a 10,Ang Lee
8248,Tempestade de Meteoros,4.828,0 a 10,Tibor Takács
8249,Tempestade: Planeta em Fúria,6.121,0 a 10,Dean Devlin
8250,Tempo,6.342,0 a 10,M. Night Shyamalan
8251,Tempo de Despertar,7.77,0 a 10,Penny Marshall
8252,Tempo de Glória,7.469,0 a 10,Edward Zwick
8253,Tempo de Matar,7.379,0 a 10,Joel Schumacher
8254,Tempo de Melodia,6.163,0 a 10,Clyde Geronimi
8255,Tendres Cousines,5.875,0 a 10,David Hamilton
8256,Tenebre,6.853,0 a 10,Dario Argento
8257,Tenemos la carne,5.098,0 a 10,Emiliano Rocha Minter
8258,Tenet,7.185,0 a 10,Christopher Nolan
8259,Tengen Toppa Gurren Lagann: Gurren-hen,7.7,0 a 10,Hiroyuki Imaishi
8260,Tengen Toppa Gurren Lagann: Lagann-hen,7.8,0 a 10,Hiroyuki Imaishi
8261,Tentação Fatal,5.463,0 a 10,Kevin Williamson
8262,Tentáculos,6.163,0 a 10,Stephen Sommers
8263,Teoria da Conspiração,6.6,0 a 10,Richard Donner
8264,Terapia Intensiva,6.1,0 a 10,Arnaud Desplechin
8265,Terapia de Risco,6.601,0 a 10,Steven Soderbergh
8266,Terceira Pessoa,5.9,0 a 10,Paul Haggis
8267,Terra Faminta,6.146,0 a 10,Daniel Kokotajlo
8268,Terra Formars: Missão em Marte,6.089,0 a 10,Takashi Miike
8269,Terra Selvagem,7.439,0 a 10,Taylor Sheridan
8270,Terra Violenta,6.099,0 a 10,Ti West
